timestamp,datetime,face_id,emotion,emotion_intensity,au1,au4,au6,au12,au15,bbox_width,bbox_height
1761901828.6967967,2025-10-31T18:10:28.696797,0,Neutral,0.6865386848574144,0.1288114150171571,0.051585474024024025,0.19149762142518012,0.0,0.6269226302851711,145,145
1761901829.0287232,2025-10-31T18:10:29.028723,0,Neutral,0.5377006544807481,0.21104737874611812,0.0,0.23877880313315558,0.0,0.6758077197855512,147,148
1761901829.3740203,2025-10-31T18:10:29.374020,0,Neutral,0.5525440817144007,0.13154059036262378,0.09878392535390024,0.5335512427572936,0.0,0.5747810909168224,151,151
1761901829.687671,2025-10-31T18:10:29.687671,0,Neutral,0.462250162457972,0.12133215739647207,0.07147948619665945,0.9519980724879206,0.3602148797080741,0.0,135,135
1761901830.0211132,2025-10-31T18:10:30.021113,0,Happy,0.5992789514594767,0.0350982882869838,0.26865139267808424,0.9825115049412937,0.4350364285386982,0.0,130,131
1761901830.3616548,2025-10-31T18:10:30.361655,0,Happy,0.7067074500266091,0.07613693658143128,0.1392537237398883,1.0,0.5810106428951558,0.0,141,141
1761901830.692689,2025-10-31T18:10:30.692689,0,Neutral,0.5357629658685781,0.00280014473892809,0.29700710765674043,0.32508900551417613,0.0,0.583517038756504,149,148
1761901831.039624,2025-10-31T18:10:31.039624,0,Neutral,0.5939444785541514,0.1146953559409214,0.0823526352535564,0.09536407014430398,0.0,0.8121110428916971,153,153
1761901831.3677375,2025-10-31T18:10:31.367738,0,Happy,0.5414120555667525,0.0,0.622126826233893,1.0,0.3448743650953608,0.0,151,151
1761901831.6840582,2025-10-31T18:10:31.684058,0,Happy,0.6059512865741179,0.0,0.5839148089328949,1.0,0.4370732665344542,0.0,145,145
1761901832.0276897,2025-10-31T18:10:32.027690,0,Happy,0.5657912530975135,0.0,0.6263724339262711,1.0,0.3797017901393051,0.0,152,152
1761901832.3595533,2025-10-31T18:10:32.359553,0,Neutral,0.8087053116854881,0.0,0.6187188669394406,0.18256614463323384,0.0342152636835524,0.02532857400233013,160,160
1761901832.693609,2025-10-31T18:10:32.693609,0,Neutral,0.5658611060187445,0.0,0.3755659988207738,0.0,0.4860677061086601,0.0,161,161
1761901833.031565,2025-10-31T18:10:33.031565,0,Neutral,0.7553194074720628,0.13436707391456082,0.024267182758961336,0.08871484766754673,0.34954370361133874,0.0,152,152
1761901833.36403,2025-10-31T18:10:33.364030,0,Neutral,0.7530636704559195,0.1470728551728745,0.0,0.0,0.3527661850629722,0.0,160,160
1761901833.6937852,2025-10-31T18:10:33.693785,0,Neutral,0.8341555742413241,0.023377088836471493,0.2615906180458305,0.0,0.1351464271972862,0.0,146,147
1761901834.0240724,2025-10-31T18:10:34.024072,0,Neutral,0.9167343062327756,0.1478686217298314,0.0,0.0,0.11895099109603485,0.0,152,152
1761901834.3560212,2025-10-31T18:10:34.356021,0,Neutral,0.8650924946732071,0.25349821571328757,0.0,0.0,0.10218993056924419,0.0,150,151
1761901834.696602,2025-10-31T18:10:34.696602,0,Neutral,0.8961470629790457,0.3299853745588355,0.0,0.0,0.030509419116064918,0.0,148,148
1761901835.0290062,2025-10-31T18:10:35.029006,0,Neutral,0.8679083115321831,0.22631136354690162,0.0,0.0,0.10787692511584505,0.0,151,150
1761901835.3680217,2025-10-31T18:10:35.368022,0,Neutral,0.887441793129727,0.38763837386342204,0.0,0.03627871926599219,0.022355162006310648,0.0,148,148
